Smiles,endpoint
CC(C1(OC2(C)CC1)CC2)C,0
CC1(OC(C)(C)C2CC1)CC2,0
O=C1NC(c2cc(O)ccc2)(c3ccccc3)C(=O)N1,0
O=C1NC(c2ccc(O)cc2)(c3ccccc3)C(=O)N1,0
O=C1Oc(c2C(C(F)(F)F)=C1)cc(OCc3c(C(F)(F)F)ccc(C(F)(F)F)c3)cc2,0
CCC1C(O)(C)C(O)C(C)C(=O)C(C)CC(OC)(C)C(OC2C(O)C(N(C)C)CC(C)O2)C(C)C(OC3OC(C)C(O)C(OC)(C)C3)C(C)C(=O)O1,0
CC1(C2C(C3C(C(C(CO)=O)(O)CC3)(C)CC2O)CC4)C4=CC(=O)CC1,0
CCOC(C(C(c1c(Cl)c(Cl)ccc1)C(C(OC)=O)=C(C)N2)=C2C)=O,0
CCN(CC)C=O,0
CC(NC(C(O)=O)CSC(C(C(F)F)OCF)(F)F)=O,0
CC(NC(C(O)=O)CSC(=C(C(F)F)OCF)F)=O,0
NC(C(O)=O)CSC(=C(C(=C(Cl)Cl)Cl)Cl)Cl,0
Cc1c(OCC(NC(C(CC(NC(C(N2C(=O)NCCC2)C(C)C)=O)Cc3ccccc3)O)Cc4ccccc4)=O)c(C)ccc1,0
CCC(N(C1(CCN(CCN2C(=O)N(CC)N=N2)CC1)COC)c3ccccc3)=O,0
CC(C1(C(=O)N(C2(O)O1)CC(=O)N(C23)CCC3)NC(C4CN(C)C(C5C4)Cc(c(c6ccc7)c57)c[nH]6)=O)C,0
CC1C(C2(C(C)C)CC1=O)C2,0
CC1(C(=O)CC2)C2C3C(C(C)(C(=C4)CC3)CCC4=O)CC1,0
O=C1Nc(c2CC1)cc(OCCCCN3CCN(c4c(Cl)c(Cl)ccc4)CC3)cc2,0
CC1C(C(OOC2(C)O3)(C4CC1)C3OC(OCc5ccc(C(O)=O)cc5)C4C)CC2,0
CC(CC1N(C2(O)C(N3C1=O)CCC3)C(=O)C(C(C)C)(NC(C4CN(C)C(C5=C4)Cc(c(c6ccc7)c57)c(Br)[nH]6)=O)O2)C,0
CCCC1OC(C(CO)=O)(C2O1)C(C)(C3C2)CC(O)C(C34)C(C)(C(=C5)CC4)C=CC5=O,0
CCCC1CN(C)C(C(NC(C2C(O)C(O)C(O)C(SC)O2)C(Cl)C)=O)C1,0
COC(C1C(N(C)C2CC1OC(c3ccccc3)=O)CC2)=O,0
COc1c(OC)c(OC)c2c(CCC(NC(=O)C)C(C2=C3)=CC(=O)C(OC)=C3)c1,0
O=C(c1c(c2cc3c(C(O)C(Cc4ccccc4)CO3)cc2)cc(C(F)(F)F)cc1)O,0
COc1c(CC2C(O)c(c3OC2)cc(OCc4sc(c5n4)cc(F)c(F)c5)cc3)cc(NS(C(F)(F)F)(=O)=O)cc1,0
CCN(S(NC1CN(C)C(C2C1)Cc3c(c24)c(n(CC)c3)ccc4)(=O)=O)CC,0
CC=CCC(C(C1N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(C(C)C)NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C(=O)C(CC)NC1=O)O)C,0
CC(C1C(C)(C2CC1)C(O)CC(C23)C(C)(C4CC3)CCC(O)C4)CCC(O)=O,0
CN(CCOC1(C(C(C)(C)C2C1)(C)CC2)c3ccccc3)C,0
CCC(OC(C(CN(C)C)C)(c1ccccc1)Cc2ccccc2)=O,0
CC1(C(=O)CC2)C2C3C(C(C)(C4=CC3)CCC(O)C4)CC1,0
CC(N(C(C)C)CCC(c1ncccc1)(c2ccccc2)C(=O)N)C,0
CC(OC1(C(C2(C)C(O)C3)C(OC(c4ccccc4)=O)C(C(C)(C)C(=C5C)C(O)C2=O)(O)CC5OC(C(C(c6ccccc6)NC(OC(C)(C)C)=O)O)=O)C3OC1)=O,0
CNC(Cc1cc(c2cc1)n(C3CCN(CCc4c(F)cccc4)CC3)cc2)=O,0
CC(c1ccc(C(CCN2CCC(OC(c3ccccc3)c4ccccc4)CC2)=O)cc1)(C)C,0
COC(C1C(C2(C3O2)C(C)(C(=C4)C1)CCC4=O)C5C(C6(OC(=O)CC6)CC5)(C)C3)=O,0
CCC1C(O)(C)C(O)C(C)CC(C)CC(O)(C)C(OC2C(O)C(N(C)C)CC(C)O2)C(C)C(OC3OC(C)C(O)C(OC)(C)C3)C(C)CO1,0
Clc1cc2c(n(c3CN=C2c4ccccc4)cnn3)cc1,0
CCS(c1c(N)n(c2c(Cl)cc(C(F)(F)F)cc2Cl)nc1C#N)=O,0
Cc1ncc(c2c(c3ccc(S(=O)(=O)C)cc3)cc(Cl)cn2)cc1,0
COC1C(C)=CC=CC=CC(C)CC(C)C(=O)C(OC)C(O)C(C)=CC(C)C(=O)CC(C(CC2CC(OC)C(OCCO)CC2)C)OC(=O)C(N3C(=O)C(=O)C(OC4C1)(O)C(C)CC4)CCCC3,0
CCC(N(C1CCN(CCc2ccccc2)CC1)c3ccccc3)=O,0
